result_id,pos.,pts,no,rider,Team,time / gap,session,class,event,year,event_id
238,19,0.0,6,S. Bradl,Repsol Honda Team,+31.943,Race,MotoGP,ARG,2022,2
239,20,0.0,4,A. Dovizioso,WithU Yamaha RNF MotoGP Team,+0.000,Race,MotoGP,ARG,2022,2
240,DNF,0.0,49,F. Di Giannantonio,Gresini Racing MotoGP,22 laps,Race,MotoGP,ARG,2022,2
241,DNF,0.0,44,P. Espargaro,Repsol Honda Team,14 laps,Race,MotoGP,ARG,2022,2
242,DNF,0.0,21,F. Morbidelli,Monster Energy Yamaha MotoGP,7 laps,Race,MotoGP,ARG,2022,2
243,DNF,0.0,5,J. Zarco,Prima Pramac Racing,5 laps,Race,MotoGP,ARG,2022,2
244,1,25.0,14,T. Arbolino,Elf Marc VDS Racing Team,39:06.552,Race,Moto2,AME,2022,3
245,2,20.0,79,A. Ogura,IDEMITSU Honda Team Asia,+3.439,Race,Moto2,AME,2022,3
246,3,16.0,96,J. Dixon,Inde GASGAS Aspar Team,+4.787,Race,Moto2,AME,2022,3
247,4,13.0,23,M. Schrotter,Liqui Moly Intact GP,+14.529,Race,Moto2,AME,2022,3
248,5,11.0,9,J. Navarro,Flexbox HP40,+16.347,Race,Moto2,AME,2022,3
249,6,10.0,52,J. Alcoba,Liqui Moly Intact GP,+17.388,Race,Moto2,AME,2022,3
250,7,9.0,64,B. Bendsneyder,Pertamina Mandalika SAG Team,+17.631,Race,Moto2,AME,2022,3
251,8,8.0,16,J. Roberts,Italtrans Racing Team,+19.784,Race,Moto2,AME,2022,3
252,9,7.0,37,A. Fernandez,Red Bull KTM Ajo,+24.595,Race,Moto2,AME,2022,3
253,10,6.0,7,B. Baltus,RW Racing GP,+30.291,Race,Moto2,AME,2022,3
254,11,5.0,75,A. Arenas,Inde GASGAS Aspar Team,+33.475,Race,Moto2,AME,2022,3
255,12,4.0,42,M. Ramirez,MV Agusta Forward Racing,+34.785,Race,Moto2,AME,2022,3
256,13,3.0,18,M. Gonzalez,Yamaha VR46 Master Camp Team,+34.988,Race,Moto2,AME,2022,3
257,14,2.0,12,F. Salac,Gresini Racing Moto2,+37.786,Race,Moto2,AME,2022,3
258,15,1.0,5,R. Fenati,MB Conveyors Speed Up,+38.408,Race,Moto2,AME,2022,3
259,16,0.0,19,L. Dalla Porta,Italtrans Racing Team,+79.999,Race,Moto2,AME,2022,3
260,17,0.0,4,S. Kelly,American Racing,+84.437,Race,Moto2,AME,2022,3
